name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
smederevo,2022-01-01,11.9,3.1,7.2,11.9,1.5,6.2,6.1,92.6,0.021,100,8.33,rain,0,0,10.8,11.9,313.8,1023.5,62.8,9.2,69.3,6,3,,2022-01-01T07:13:29,2022-01-01T16:06:22,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-02,14,5.7,9.3,14,5,8.6,6.6,83.9,0,0,0,,0,0,,12.8,163.4,1024.2,46.9,13.2,86.3,7.5,4,,2022-01-02T07:13:31,2022-01-02T16:07:17,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-03,12.1,4.8,7.7,12.1,3.2,6.7,4.7,81.5,0,0,0,,0,0,,12,225.2,1017.7,37.5,12.2,72.6,6.3,4,,2022-01-03T07:13:30,2022-01-03T16:08:14,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-04,13.8,2.5,7.8,13.8,1.3,6.8,3.7,76.2,0,0,0,,0,0,54,14.9,133.6,1012.4,46.4,13.2,65.9,5.6,3,,2022-01-04T07:13:27,2022-01-04T16:09:13,0.06,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-05,16.5,7.3,10.8,16.5,4.9,9.7,4.8,67,0,0,0,,0,0,61.2,16.5,87.5,1005.6,55.1,18.4,77.8,6.6,4,,2022-01-05T07:13:21,2022-01-05T16:10:13,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-06,5.8,2,3.8,4.3,-1.1,1.3,2.2,89.6,0.546,100,12.5,rain,0,0,,13,290.5,1013.6,88.6,12,27.1,2.3,1,,2022-01-06T07:13:13,2022-01-06T16:11:15,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-07,3.6,-1,1.2,3.6,-3,-0.4,-2.3,78.2,0,0,0,,0,0,,10.8,328.8,1022.1,78.7,13.7,71.7,6.3,3,,2022-01-07T07:13:02,2022-01-07T16:12:19,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-08,1.9,-0.2,1.1,0.5,-2.9,-1.3,-0.1,91.7,3.932,100,20.83,"rain,snow",2.2,1,,11.3,1.1,1015.7,95.2,5.4,34.6,3.1,2,,2022-01-08T07:12:48,2022-01-08T16:13:25,0.19,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-09,1,-1.3,-0.3,0.1,-3.4,-2,-1.2,94.1,3.975,100,16.67,"rain,snow",8.2,5.4,,9,342.6,1008.5,90.4,5.4,75.6,6.6,4,,2022-01-09T07:12:32,2022-01-09T16:14:31,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-10,-0.2,-1.8,-1.1,-2.9,-5.6,-4.5,-1.7,96,6.431,100,25,"rain,snow",7.7,15.3,28.1,13.7,332.9,1011.2,98.3,3.1,30.9,2.7,1,10,2022-01-10T07:12:14,2022-01-10T16:15:40,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-11,-0.8,-1.7,-1.2,-1.4,-4.8,-4.1,-1.8,95.9,6.914,100,29.17,"rain,snow",2.7,18.9,24.1,11.6,294.6,1023.8,98.5,3.6,41.3,3.6,2,10,2022-01-11T07:11:52,2022-01-11T16:16:50,0.29,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-12,-1.2,-6,-3.4,-3.7,-8.8,-6.1,-5.1,88.4,0.214,100,4.17,"rain,snow",0,15.8,22.7,12.7,308.4,1033.1,84.3,7.4,56.8,4.8,2,10,2022-01-12T07:11:29,2022-01-12T16:18:01,0.32,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-13,-0.9,-8.5,-5,-4.6,-9.8,-7.2,-6.8,87.6,12.997,100,4.17,snow,0,13.5,11.9,10.6,289.1,1038.8,54.5,6.1,79,6.9,3,10,2022-01-13T07:11:03,2022-01-13T16:19:13,0.35,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-14,3.8,-6.7,-0.9,3.3,-9.7,-3.5,-3.7,82.1,4.732,100,4.17,snow,0,10.1,30.2,10.7,283,1029.5,40,8.8,80.3,7,3,10,2022-01-14T07:10:34,2022-01-14T16:20:26,0.38,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-15,3.7,-2.7,0.4,3.7,-5.8,-1.6,-1.4,87.7,6.38,100,4.17,"rain,snow",0,5.7,42.1,11.3,320,1027.8,41.7,9,67.9,5.7,3,10,2022-01-15T07:10:03,2022-01-15T16:21:41,0.42,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-16,4.4,-4.9,-0.9,3,-5.1,-1.7,-2.6,88.6,4.49,100,4.17,snow,0,3,20.9,7.6,28.1,1026.8,17.7,7.5,77.3,6.7,3,10,2022-01-16T07:09:30,2022-01-16T16:22:57,0.45,Snow,Clear conditions throughout the day with morning snow.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-17,5.9,-3.9,1.4,4.2,-5.9,-0.8,-1.5,81.6,1.946,100,12.5,"rain,snow",0,4.1,69.5,25.7,296.1,1023.3,58.9,9.2,78.9,6.7,3,10,2022-01-17T07:08:54,2022-01-17T16:24:14,0.48,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-18,2.5,-3.4,0.4,-0.5,-6.2,-2.8,-2.6,80.6,20.285,100,4.17,"rain,snow",0,1.8,57.6,20.3,308.1,1031.5,41.4,16.2,91.5,8,4,10,2022-01-18T07:08:16,2022-01-18T16:25:31,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-19,3.7,-4.3,-0.9,2.9,-6.3,-2.2,-3.3,84,0,0,0,,0,1.4,24.1,8.6,242.6,1032.3,26,12.5,93.1,8.1,4,10,2022-01-19T07:07:35,2022-01-19T16:26:50,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-20,5,-3.6,0.8,5,-6.4,-1.3,-2.8,77.7,1.202,100,8.33,"rain,snow",0,1.1,32.4,11.4,8.7,1021,48.5,11.1,76.6,6.5,3,10,2022-01-20T07:06:53,2022-01-20T16:28:09,0.59,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-21,1.1,-1.5,-0.2,-1.2,-5.1,-3.7,-2.9,82.6,5.321,100,20.83,"rain,snow",0.1,0.9,37.8,22.1,303,1022.9,82.6,13.3,82.2,7.1,3,10,2022-01-21T07:06:08,2022-01-21T16:29:29,0.62,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-22,-0.2,-5.5,-2.2,-4,-9.2,-5.8,-4,87.7,5.246,100,20.83,"rain,snow",13.3,6.5,42.8,16.4,294.2,1022.3,77.1,9.7,43.6,3.7,2,10,2022-01-22T07:05:20,2022-01-22T16:30:50,0.66,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
smederevo,2022-01-23,-1.5,-8.7,-5,-4.7,-12.5,-8.3,-7.1,85.4,0.295,100,16.67,"rain,snow",0,8.2,38.5,13.1,314.6,1028.5,59.6,11.8,93.1,8,4,10,2022-01-23T07:04:31,2022-01-23T16:32:12,0.69,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"13272099999,15338099999,13183099999,13279099999,13274099999,15388099999"
